task,a_score,a_max,a_pct,b_score,b_max,b_pct,delta_pct,harness_a_passed,harness_a_total,harness_a_pct,harness_b_passed,harness_b_total,harness_b_pct
v13-rest-api,3,6,50.0,6,6,100.0,50.0,4,5,80.0,4,5,80.0
v13-pagination,0,1,0.0,6,6,100.0,100.0,4,5,80.0,4,5,80.0
v13-versioning,0,1,0.0,5,6,83.3,83.3,4,5,80.0,4,5,80.0
v13-error-format,0,8,0.0,8,8,100.0,100.0,4,5,80.0,4,5,80.0
